video_id,title,published,view_count
XeN8NYRM58I,รวมเพลงฮิตยุค 90 V.2 คัดเฉพาะเพลงฮิต | C,2025-11-30,1713462
L_7CdLJN3zw,รวมเพลงเก่าสุดฮิต ยุค 80-90 v.3  |  ใจนั,2025-12-14,1691515
15pJ0mFO4PQ,รวมเพลงเศร้าสุดฮิต เพลงร้านเหล้า ยุค 90 ,2025-12-27,974959
OzsuURFRY54,รวมเพลงเก่า เพราะๆ ยุค 90's  V.1 ขีดเส้น,2025-11-15,648356
yf2cpeVQ6Uc,รวมเพลงเก่า เพราะๆ ยุค 90's / โคตรเจ็บ /,2025-11-17,615369
bPeJdHLhTok,รวมเพลงใหม่ล่าสุด 2026 V.1 : ยิ่งฟัง ยิ่,2025-08-23,173315
wecwg-7PFX0,รวมเพลงใหม่ล่าสุด 2026 V.2 : ผู้หญิงอกหั,2025-08-25,38666
rg-zENEL_AU,รวมเพลงเพราะ (คัดพิเศษ) ฟังสบาย v.2 / เพ,2025-10-12,4214
7Ey6m9ojdZE,ยิ่งฟัง..ยิ่งเจ็บ / รวมเพลงเศร้า..คนอกหั,2025-09-24,3851
1-SFL1KM0uI,รวมเพลงใหม่ ผู้ชายอกหัก 2026 : #เพลงใหม่,2025-09-06,2468
