video_id,title,published_date,view_count,hms_format
az21wf8jlCs,I Tried NEW Qwen-3.7-Max on Three Projects,2026-05-23,11542,0:06:26
SYJadIs0A_0,I Tried to Plan with Opus and Build with Deepseek Flash / Composer 2.5,2026-05-22,6202,0:11:11
Zgqmf07Jb4I,"Claude Code ""Learning"" Mode: Insights From AI Code Result #claudecode",2026-05-20,1161,0:01:07
f7PGu8u-pvU,I Tested NEW Composer 2.5. Wow. (Updated LLM Benchmark),2026-05-20,6867,0:12:42
ix94TuGdtwk,"AI Coding ""Trick"": Ask LLM *Why* It Made Certain Decisions",2026-05-19,2269,0:10:57
MRSHPXbxd1g,"I Tried NEW Clawpatch for Codex: ""Optimized"" Code Review",2026-05-18,2143,0:08:46
2cUHlPlc1i0,I Realized Why Western LLMs Beat Chinese Models: My Example,2026-05-15,2759,0:11:32
LmAuLZVXBHs,Codex App: 4 Features You May Not Know,2026-05-14,1222,0:06:24
yPbBRqsqyLQ,I Tested Grok 4.3 vs Other LLMs for Coding: Clear Answer,2026-05-12,4757,0:07:25
jiEdmQDE8h4,Planning with AI Agents: Markdown vs... HTML?,2026-05-11,3554,0:09:46
DGWwJOdiwkY,6 Chinese LLMs: Coding Test on Laravel Task,2026-05-10,3577,0:05:21
iF29iRqEV84,I Tested 6 LLMs with MULTIPLE Runs for Same Prompt,2026-05-07,3432,0:08:48
Ovi_L-jTDRA,"I Tested Three GPT-5.x: Worth Using Older ""Cheaper"" Models?",2026-05-04,3459,0:08:17
nkN45mVXdj8,I Tried NEW Codex In-App Browser: No Need for Playwright Tests?,2026-05-03,3679,0:04:57
dDKRRs5ov9g,I Tried NEW /goal in Codex CLI: Ralph Loop by OpenAI?,2026-05-02,5903,0:17:36
_NNni_fT3ps,I Tested GPT-5.5 Medium/High/xHigh Reasoning Levels: CLEAR Difference,2026-04-29,8439,0:10:00
6vEsvX5_nPk,"I Tried NEW Deepseek V4 Pro/Flash: Price, Speed, Quality Compared",2026-04-28,16437,0:17:17
BgxIopaifNQ,"I Tested NEW GPT-5.5 vs GPT-5.4 vs ""Fixed"" Opus 4.7",2026-04-24,9872,0:12:20
8U1CYrEZPmE,I Tried NEW Kimi K2.6: Same Level as Opus 4.x and GPT-5.4?,2026-04-21,10378,0:12:22
jf1sv2geEWo,I Tested NEW Caveman AI Skill in Claude Code: Does it Really Save Tokens?,2026-04-20,30884,0:06:06
LMHgckSg8Zo,I Tested Opus 4.7 vs GPT-5.4 on a 30-Minute Coding Task,2026-04-18,6812,0:09:45
ZA96ueD0llI,Codex CLI Tip: Don't Trust /status Limits Data #codex,2026-04-18,2604,0:01:10
