video_id,title,published,view_count,hms_format
j0X71DNNKsk,I built a full website with ONE AI prompt (ZERO coding skills),2025-05-01,19119,0:28:26
UKGrwwNEf4w,Pepsi buys poppi for $1.95 Billion and releases THIS?,2025-04-26,392,0:00:42
7jxOu0Rlo7o,Oatly's CONTROVERSIAL new campaign,2025-04-25,702,0:00:36
zxQYaKN_kHA,The Man in the Vision Pro,2025-04-24,733,0:01:03
hqCFiXIwYcE,Zyn if it was made in the 1950's,2025-04-23,403,0:00:35
HW7s-gLchzI,Tesla if it was made in the 60's,2025-04-22,1600,0:00:31
eq9I0xyc-Kc,Asking 4o to Recreate Vintage Ads (You Won’t Believe These),2025-04-09,456,0:09:42
jIck1NpYcYg,"35mm Shot by Shot Breakdown Valencia, Spain",2024-10-14,84,0:01:00
cvdL2oOVR1Q,35mm Street Photography | Composition Breakdown,2024-10-11,355,0:00:59
gf9i6mK5OLg,Photographing Madrid’s Pride Parade | Fuji X-T5,2024-10-10,139,0:00:40
1SSRamlANyI,7 Minutes of Photography in Buenos Aires’s Busiest Market,2024-10-09,622,0:00:30
d82rrl493bY,Film Photography in Buenos Aires’s Busiest Neighborhood,2024-10-03,62,0:00:24
sH2ayxcQxXc,POV Photography in Buenos Aires’s trendiest neighborhood,2024-10-03,631,0:00:19
