video_id,title,published,view_count,hms_format
2sLO9NYr8Rc,Gemini 3.1 + New AI Studio Is Here: Full Prototyping Tutorial in 18 Minutes,2026-02-19,16025,0:18:12
lbESr58-7DQ,Master Google AI Studio in 40 Minutes | Logan Kilpatrick,2026-01-25,8582,0:39:18
47SlwClRJYE,Full Tutorial: Build 10 Beautiful Websites in 12 Minutes with Replit and Gemini 3,2025-11-26,9796,0:12:23
vfBMNaE5kRo,Full Tutorial: GPT-5 vs Claude 4.5 vs Gemini 2.5 for 10 Tasks (Oct 2025),2025-10-29,7265,0:23:10
r-xjo7MYc18,Inside Gemini and NotebookLM: How Google is Shipping Non-Stop | Josh Woodward,2025-10-12,11502,0:43:58
YgvL0dA_2Pg,ChatGPT vs Claude vs Gemini: The Best AI for Each Use Case in 2025,2025-06-04,24720,0:21:18
