video_id,title,published,view_count,hms_format
SzKeyjrgmOs,"NEW Universal AI Jailbreak SMASHES GPT4, Claude, Gemini, LLaMA",2024-04-10,205814,0:01:00
9IM5d-egZ7M,"NEW Universal AI Jailbreak SMASHES GPT4, Claude, Gemini, LLaMA",2024-04-07,108748,0:18:48
Z0jqIk7MUfE,"""Compute is the New Oil"", Leaving Google, Founding Groq, Agents, Bias/Control (Jonathan Ross)",2024-04-04,80963,0:24:22
c8xVzfzVbJ0,Apple's Next Gen SIRI Will Use Google Gemini?!,2024-03-18,19062,0:00:27
NM0hw0khlC4,"New Jailbreak Method PUNISHES GPT4, Claude, Gemini, LLaMA",2024-03-12,34450,0:20:00
5cEvNO9rZgI,"NEW AI Jailbreak Method SHATTERS GPT4, Claude, Gemini, LLaMA",2024-03-09,326419,0:21:17
NtScEI9__X0,Google’s Genie Turns Images Into Video Games | “Unlimited Interactive Worlds”,2024-02-28,36509,0:21:42
KzxR2Vcr9CM,"NVIDIA's AGI ""SuperTeam"" SHOCKS The ENTIRE Industry | Karpathy Leaves OpenAI, Gemini Infinite Tokens",2024-02-25,117574,0:30:39
1Mn0U6HGLeg,Google’s NEW Open-Source Model Is SHOCKINGLY BAD,2024-02-22,49781,0:23:00
NuPREI6mB0g,Google’s GEMINI ULTRA 1.0 First Look - Breakdown and Testing,2024-02-08,53174,0:11:15
T0g66FbVaow,Google's New BREAKTHROUGH Robot Changes EVERYTHING (Mobile Aloha),2024-01-06,67977,0:18:17
X7-qLJsvtoc,GEMINI Beats GPT4!! Google's New Gemini Model Is INSANE 🤯,2023-12-07,75801,0:26:52
ukqiGeRqjNk,"ChatGPT + Google Docs All-In-One - Introducing, Cohesive!",2023-05-20,4334,0:06:32
2mjL2RymRGw,Google Launched A Counter Attack! 💥 GoogleIO Breakdown,2023-05-12,3434,0:05:24
b2noslOWyK4,Leaked Internal Google AI Memo About “Google and OpenAI”,2023-05-08,72763,0:14:30
t2RyE0AeQ8s,Google Bard 🤯 - Full Comparison. Bard vs ChatGPT,2023-03-23,2264,0:14:45
