video_id,title,published,view_count,hms_format
cGA_6M9x7AM,OpenCode Desktop: Great UI/UX + Run Multiple AI Agents (Free),2026-02-20,24039,0:09:32
Kr9BL3ck2-g,OpenCode + Antigravity oAuth: FREE Alternative to Claude Code Max Plan,2026-01-17,44321,0:08:47
_GH6XBiQMfQ,SST OpenCode: AWESOME AI Coding Assistant + Open Source - RIP Gemini CLI & ClaudeCode,2025-07-23,9276,0:12:25
yyBm_K8xpAk,"OpenCode: FAST, Open Source and Intuitive AI Coder. Support Multiple AI Models!",2025-07-11,7133,0:10:12
iNA2GJbcA5M,"WebDev Arena: FREE to use Sonnet 4, Gemini 2.5 Pro, Deepseek R1, and More!",2025-06-09,1900,0:09:35
