video_id,title,published,view_count,hms_format
oBiBEx7L000,How to Setup Neovim LSP Like A Pro in 2025 (v0.11+),2025-10-21,56609,0:24:57
9FW43mb1vTM,OpenCode Is An Awesome Way To Use AI With Neovim & Tmux,2025-08-26,80576,0:14:38
bRFRjHQGf6A,Why I Love Using Neovim in 2025,2025-08-14,42595,0:05:58
p_sVgHS2zcA,How To Jump Anywhere Instantly in Neovim,2025-07-29,28689,0:12:01
Ihg37znaiBo,Lazygit - The Best Way To Use Git On The Terminal & Neovim,2024-07-11,145930,0:11:47
K4PoBfz3WLA,How To Use Vim/Neovim Macros For Next Level Productivity,2024-07-01,28134,0:09:50
6pAG3BHurdM,How I Setup Neovim To Make It AMAZING in 2024: The Ultimate Guide,2024-04-03,447132,1:26:35
CEMPq_r8UYQ,A Powerful Way To Make Editing Code In Neovim Even Better,2023-10-04,148989,0:17:48
ybUE4D80XSk,How To Setup Linting And Formatting In Neovim To Replace null-ls,2023-09-30,77526,0:26:26
NL8D8EkphUw,How I Setup LSP In Neovim For An Amazing Dev Experience - Full Guide,2023-09-02,119327,0:34:09
6mxWayq-s9I,How To Use lazy.nvim For A Simple And Amazing Neovim Config,2023-08-24,209500,0:25:44
U-omALWIBos,How I Use Tmux With Neovim For An Awesome Dev Workflow On My Mac,2022-10-28,438771,0:21:41
vdn_pKJUda8,How I Setup Neovim On My Mac To Make It Amazing - Complete Guide,2022-10-18,508037,1:14:58
