id,name,full_name,sector,subsector,market,website,created_at,updated_at
588,TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,SET100 / SETWB,www.thoresen.com,2018-04-22 04:29:39.644689,2022-01-15 03:54:48.579839
589,TTCL,TTCL PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,SET,www.ttcl.com,2018-04-22 04:29:39.649801,2022-01-15 03:54:48.582860
590,TTW,TTW PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SETTHSI,www.ttwplc.com,2018-04-22 04:29:39.655789,2021-07-07 03:33:39.267459
591,TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET50 / SETCLMV / SETHD / SETTHSI / SETWB,thaiunion.com,2018-04-22 04:29:39.660981,2021-07-07 03:33:39.269205
594,TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET / SETTHSI / SETWB,www.tvothai.com,2018-04-22 04:29:39.677962,2019-11-19 07:13:54.470342
600,U,U CITY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET,www.ucity.co.th,2018-04-22 04:29:39.711849,2022-01-15 03:54:48.589999
601,UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,sSET,www.uac.co.th,2018-04-22 04:29:39.717442,2021-01-26 15:42:35.614312
607,UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,sSET,www.unique.co.th,2018-04-22 04:29:39.751689,2018-07-04 15:30:20.349445
611,UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,SET,www.upoic.co.th,2018-04-22 04:29:39.774433,2018-04-22 04:29:39.774433
613,UTP,UNITED PAPER PUBLIC COMPANY LIMITED,Industrials,Paper & Printing Materials,sSET / SETCLMV,www.unitedpaper.co.th,2018-04-22 04:29:39.785754,2018-07-04 15:30:20.374380
614,UV,UNIVENTURES PUBLIC COMPANY LIMITED,Property & Construction,Property Development,sSET,www.univentures.co.th,2018-04-22 04:29:39.790518,2019-03-03 03:45:02.739636
615,UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,sSET,www.univanich.com,2018-04-22 04:29:39.796074,2022-01-15 03:54:48.594236
618,VGI,VGI PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET100 / SETTHSI,www.vgi.co.th,2018-04-22 04:29:39.812383,2022-01-15 03:54:48.595739
619,VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,Services,Health Care Services,SETWB,www.vibhavadi.com,2018-04-22 04:29:39.817973,2020-07-06 13:24:00.374476
620,VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,Services,Health Care Services,sSET,www.vichaivej.com,2018-04-22 04:29:39.823084,2018-04-22 04:29:39.823084
625,WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,Consumer Products,Fashion,SET,www.wacoal.co.th,2018-04-22 04:29:39.851645,2018-04-22 04:29:39.851645
628,WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET100 / SETHD / SETTHSI,www.wha.co.th,2018-04-22 04:29:39.867430,2021-07-07 03:33:39.287407
630,WHART,WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,www.whareit.com,2018-04-22 04:29:39.879467,2018-04-22 04:29:39.879467
631,WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET / SETTHSI,www.wha-up.com,2018-04-22 04:29:39.884477,2021-07-07 03:33:39.291393
632,WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,sSET,www.wice.co.th,2018-04-22 04:29:39.912473,2021-01-26 15:42:35.646871
633,WIIK,WIIK PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,SET,www.wiik.co.th,2018-04-22 04:29:39.917794,2020-07-06 13:24:00.405747
636,WORK,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET,www.workpoint.co.th,2018-04-22 04:29:39.935932,2022-01-15 03:54:48.607070
639,YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED,Industrial,Industrial,mai,www.yuasathai.com,2018-04-22 04:29:39.952508,2022-01-15 03:54:48.608647
643,INOX,POSCO-THAINOX PUBLIC COMPANY LIMITED,Industrials,Steel and Metal Products,SET,www.poscothainox.com,2018-08-12 13:00:16.941234,2021-08-22 18:22:07.411931
644,SMK,SYN MUN KONG INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,SET,www.smk.co.th,2018-08-12 13:00:18.477576,2018-08-12 13:00:18.477576
645,TEAMG,TEAM CONSULTING ENGINEERING AND MANAGEMENT PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,SET,www.teamgroup.co.th,2018-08-12 13:00:18.751309,2020-07-06 13:24:00.093291
646,BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,Industrials,Packaging,sSET / SETCLMV / SETTHSI,www.bgc.co.th,2019-03-03 03:45:00.650483,2022-01-15 03:54:48.267921
648,LHHOTEL,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,www.lhfund.co.th,2019-03-03 03:45:01.721879,2019-03-03 03:45:01.721879
649,NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,sSET,www.nerubber.com,2019-03-03 03:45:01.837764,2019-11-19 07:13:53.611284
650,OSP,OSOTSPA PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET50 / SETCLMV / SETHD / SETTHSI / SETWB,www.osotspa.com,2019-03-03 03:45:01.891136,2022-01-15 03:54:48.442422
651,PR9,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,sSET / SETTHSI,www.praram9.com,2019-03-03 03:45:02.001971,2022-01-15 03:54:48.456885
652,SISB,SISB PUBLIC COMPANY LIMITED,Services,Professional Services,sSET,www.sisb.ac.th,2019-03-03 03:45:02.213542,2021-07-07 03:33:39.153997
655,TFFIF,THAILAND FUTURE FUND,Services,Transportation & Logistics,SET,www.tffif.com,2019-03-03 03:45:02.485777,2019-03-03 03:45:02.485777
657,TQM,TQM CORPORATION PUBLIC COMPANY LIMITED,Financials,Insurance,SET100 / SETTHSI,www.tqmcorp.co.th,2019-03-03 03:45:02.639398,2022-01-15 03:54:48.573133
658,ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,sSET,www.zengroup.co.th,2019-03-03 03:45:02.808631,2020-07-06 13:24:00.436960
659,CPTGF,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,SET,www.ktam.co.th,2019-03-03 09:04:20.849793,2019-03-03 09:04:20.849793
660,EMC,EMC PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,SET,www.emc.co.th,2019-03-03 09:04:21.569397,2019-03-03 09:04:21.569397
661,QHHR,QUALITY HOUSES HOTEL AND RESIDENCE FREEHOLD AND LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,SET,No url,2019-03-03 09:04:22.140741,2019-03-03 09:04:22.140741
662,S & J,S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,SET,www.snjinter.com,2019-03-03 09:04:22.203232,2019-03-03 09:04:22.203232
663,SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET,www.snpfood.com,2019-03-03 09:04:22.319123,2019-03-03 09:04:22.319123
666,WP,WP ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET,www.wp-energy.co.th,2019-03-03 09:04:22.741868,2019-11-19 07:13:54.602988
