name,target,max,min,buy,hold,sell
ADVANC,396.10,422.00,355.00,9,4,0
AEONTS,104.04,136.00,85.00,7,3,2
AH,15.71,17.00,14.80,5,2,0
AIMIRT,12.20,12.20,12.20,1,0,0
AIT,5.35,5.35,5.35,0,0,0
AMATA,24.22,35.00,15.40,11,2,1
AOT,60.17,80.00,50.00,11,6,1
AP,9.91,12.00,8.20,15,2,0
ASK,10.47,12.90,7.50,1,1,1
ASP,2.10,2.10,2.10,0,0,0
ASW,8.32,9.00,7.50,3,0,0
AWC,2.62,3.55,2.20,6,4,0
BA,18.07,24.30,11.70,7,0,0
BAM,7.61,8.90,6.00,6,0,0
BANPU,6.41,7.70,5.50,5,4,0
BBL,177.66,198.00,134.00,10,6,2
BCH,12.13,14.20,10.50,19,1,1
BCP,41.39,49.00,38.00,12,2,0
BCPG,9.68,12.00,7.60,12,1,0
BDMS,24.52,32.00,20.00,18,4,0
BEC,1.96,2.34,1.57,1,0,0
BEM,8.18,10.86,5.85,12,0,0
BGRIM,15.81,20.00,12.00,10,6,0
BH,190.08,216.00,25.00,17,2,1
BJC,17.81,25.00,14.80,12,3,0
BLA,23.70,24.40,23.00,2,0,0
BPP,12.30,13.00,11.60,0,0,0
BTS,3.60,5.40,2.59,1,5,0
BTSGIF,2.38,2.60,2.15,0,0,0
CBG,45.46,60.00,38.00,5,8,0
CENTEL,40.28,45.00,34.00,16,2,0
CHG,1.82,2.02,1.48,14,1,0
CK,21.82,25.90,18.50,13,2,0
CKP,3.00,3.90,2.00,7,2,1
COM7,29.77,32.00,25.00,12,0,0
CPALL,61.93,80.00,47.00,19,0,0
CPAXT,16.75,19.00,14.20,5,11,1
CPF,23.12,25.00,20.40,12,6,0
CPN,75.38,83.00,70.00,17,0,0
CPNREIT,11.83,12.60,10.60,2,1,0
CRC,23.11,27.00,19.00,12,5,0
DCC,1.44,1.56,1.36,1,2,0
DELTA,295.83,366.00,216.00,6,7,5
DIF,10.08,11.00,9.30,1,4,0
DOHOME,3.75,4.30,3.06,5,5,2
EGCO,129.75,145.00,117.00,5,5,0
EPG,4.16,5.00,3.40,5,1,0
FSMART,10.50,10.50,10.50,1,0,0
GFPT,10.18,13.10,8.00,5,10,2
GLOBAL,7.92,9.00,7.30,13,0,0
GPSC,44.56,56.00,37.00,13,6,0
GULF,72.34,91.00,65.00,17,0,0
GUNKUL,3.55,4.00,2.70,5,1,0
HANA,27.64,38.00,16.00,8,4,4
HMPRO,7.48,10.00,6.00,10,7,0
HTC,15.55,15.60,15.50,0,0,0
ICHI,13.98,15.50,11.90,5,4,0
III,5.19,5.50,4.58,3,0,0
ILM,16.31,18.00,15.00,2,1,0
IMPACT,12.30,12.60,12.00,1,1,0
IRPC,1.76,2.20,1.20,2,8,5
IVL,25.97,29.00,21.00,11,4,1
3BBIF,7.30,8.70,6.10,1,2,1
JMART,8.00,8.00,8.00,0,0,0
JMT,10.38,13.00,8.50,1,2,1
KBANK,208.86,232.00,190.00,13,2,0
KCE,29.60,40.00,17.80,6,1,8
KKP,83.20,92.00,71.00,8,8,0
KTB,36.94,41.00,34.00,15,2,0
KTC,35.60,47.00,26.00,9,3,1
LH,3.97,4.50,3.20,2,10,1
LPN,1.39,1.65,1.30,0,1,0
M,20.04,24.00,17.50,3,3,0
MAJOR,9.76,11.00,9.10,7,0,0
MC,12.13,13.30,11.10,1,2,0
MEGA,40.66,45.00,35.00,5,3,0
MINT,31.37,38.00,24.90,15,0,0
MST,7.00,7.00,7.00,0,0,0
MTC,41.53,55.00,35.80,17,0,0
NER,5.02,5.60,4.50,4,5,0
ONEE,2.96,3.20,2.40,4,2,1
OR,14.82,17.30,11.90,12,6,0
ORI,1.87,2.42,1.00,3,4,1
OSP,18.32,22.00,13.40,10,9,0
PLANB,5.61,6.50,4.70,8,2,0
PRM,9.38,9.70,8.45,6,0,0
PSH,3.26,3.98,2.78,1,1,5
PSL,7.48,8.15,6.80,2,1,0
PTG,8.73,11.50,7.10,5,9,0
PTT,40.01,45.00,31.00,12,5,0
PTTEP,171.85,197.00,159.00,16,4,0
PTTGC,38.57,46.00,24.00,10,5,3
QH,1.39,1.77,1.10,2,7,2
RATCH,32.94,42.00,29.00,7,4,0
RBF,3.99,4.40,3.56,0,0,0
RCL,34.00,35.00,33.00,1,1,0
RJH,14.67,15.50,14.00,2,1,0
SAPPE,30.73,33.00,28.00,1,9,0
SAT,15.69,17.70,14.20,1,7,1
SAWAD,31.10,36.00,21.00,13,2,1
SC,2.38,2.75,2.10,9,0,0
SCB,143.43,170.00,126.00,4,10,0
SCC,231.07,290.00,150.00,6,6,3
SCCC,186.33,200.00,174.00,3,0,0
SCGP,27.83,33.75,21.00,16,2,0
SGP,10.60,10.60,10.60,1,0,0
SIRI,1.65,1.80,1.52,14,2,0
SIS,24.68,25.35,24.00,1,1,0
SJWD,11.48,13.40,10.00,9,0,0
SPALI,17.15,21.60,14.50,5,9,2
SPRC,8.37,10.30,7.00,12,5,0
SSP,4.90,5.00,4.80,2,0,0
STA,18.10,22.00,14.80,5,2,0
STGT,10.80,14.00,9.00,1,3,0
SYNEX,11.57,12.60,10.70,9,0,0
TASCO,15.83,18.00,14.20,5,2,0
TCAP,60.68,68.00,54.00,3,5,0
TFFIF,7.25,7.50,7.00,1,1,0
TFG,10.86,15.05,6.20,5,6,0
THANI,2.07,2.36,1.70,4,2,0
THG,10.30,10.30,10.30,0,0,0
TISCO,108.77,117.00,91.50,1,12,2
TKN,4.30,4.50,4.10,0,0,0
TOA,14.43,16.00,12.70,0,0,0
TOP,53.12,73.00,43.00,9,10,1
TQM,16.35,18.00,15.00,4,0,0
TRUE,16.66,19.00,15.10,12,0,0
TTA,5.30,5.30,5.30,1,0,0
TTB,2.26,2.60,2.00,3,12,1
TTW,10.14,11.00,9.50,2,3,0
TU,13.64,15.50,11.50,14,4,0
TVO,27.52,30.00,25.00,3,2,0
UTP,10.00,10.00,10.00,0,0,0
VGI,1.22,1.22,1.22,0,0,0
WHA,5.07,5.80,4.70,13,3,0
WHAIR,8.27,8.60,7.60,3,0,0
WHART,11.30,11.40,11.20,1,1,0
WHAUP,5.71,6.10,5.15,6,1,0
