name,year,quarter,q_amt,y_amt,aq_amt,ay_amt,ticker_id,grade,period,shares
AH,2025,4,105562,119895,731428,746961,9,4,3,1200
AIMIRT,2025,4,195932,342254,684130,948697,669,4,4,17500
GVREIT,2025,4,-432165,-87267,167756,457671,654,4,2,69000
JMART,2025,4,-495677,310052,-161839,1140849,236,4,4,6800
JMT,2025,4,221722,400174,1029560,1615223,237,4,4,7000
RCL,2025,4,1803382,3318461,8166901,9170542,396,4,3,27000
SENA,2025,4,35749,97807,323614,399608,437,4,2,105000
STA,2025,4,-325739,854339,-1265710,1670375,481,4,1,10000
