sell_year,sell_month,buy_year,buy_month,name,net
2026,3,2021,9,SCC,-140566.79
2026,3,2023,1,JMART,-182491.17
2026,3,2023,8,AIMIRT,7908.88
2026,5,2026,4,MCS,-1174.98
