id,name,year,quarter,q_amt,y_amt,aq_amt,ay_amt,q_eps,y_eps,aq_eps,ay_eps,ticker_id,publish_date
4014,ADVANC,2011,1,6268907,4963839,6268907,4963839,2.11,1.67,2.11,1.67,6,2017-02-28
4015,ADVANC,2011,2,6116277,4870076,12385184,9833913,2.06,1.64,4.17,3.31,6,2017-02-28
4016,ADVANC,2011,3,6171528,4883682,18556712,14717595,2.08,1.65,6.24,4.96,6,2017-02-28
4017,ADVANC,2011,4,3660999,5804669,22217711,20513502,1.24,1.96,7.48,6.91,6,2017-02-28
4018,ADVANC,2012,1,8925931,6268907,8925931,6268907,3.0,2.11,3.0,2.11,6,2017-02-28
4019,ADVANC,2012,2,8713081,6116277,17639012,12385184,2.93,2.06,5.93,4.17,6,2017-02-28
4020,ADVANC,2012,3,8786611,6171528,26425623,18556712,2.96,2.08,8.89,6.24,6,2017-02-28
4021,ADVANC,2012,4,8457604,3660999,34883227,22217711,2.84,1.24,11.73,7.48,6,2017-02-28
4022,ADVANC,2013,1,9922609,8925931,9922609,8925931,3.34,3.0,3.34,3.0,6,2017-02-28
4023,ADVANC,2013,2,9194589,8713081,19117198,17639012,3.09,2.93,6.43,5.93,6,2017-02-28
4024,ADVANC,2013,3,8340981,8786611,27458179,26425623,2.81,2.96,9.24,8.89,6,2017-02-28
4025,ADVANC,2013,4,8815949,8457604,36274128,34883227,2.96,2.84,12.2,11.73,6,2017-02-28
4026,ADVANC,2014,1,9480549,9922609,9480549,9922609,3.19,3.34,3.19,3.34,6,2017-02-28
4027,ADVANC,2014,2,8475304,9194589,17955853,19117198,2.85,3.09,6.04,6.43,6,2017-02-28
4028,ADVANC,2014,3,8955432,8340981,26911285,27458179,3.01,2.81,9.05,9.24,6,2017-02-28
4029,ADVANC,2014,4,9121880,8815949,36033165,36274128,3.07,2.96,12.12,12.2,6,2017-02-28
4030,ADVANC,2015,1,9896863,9480549,9896863,9480549,3.33,3.19,3.33,3.19,6,2017-02-28
4031,ADVANC,2015,2,9848673,8475304,19745536,17955853,3.31,2.85,6.64,6.04,6,2017-02-28
4032,ADVANC,2015,3,8615533,8955432,28361069,26911285,2.9,3.01,9.54,9.05,6,2017-02-28
4033,ADVANC,2015,4,10791341,9121880,39152410,36033165,3.63,3.07,13.17,12.12,6,2017-02-28
4034,ADVANC,2016,1,8072745,9896863,8072745,9896863,2.72,3.33,2.72,3.33,6,2017-02-28
