name,rows_deleted
FTREIT,741
LHK,1569
BAY,1228
KEX,1027
GL,696
S+%26+J,533
INTUCH,1746
CNS,542
BCT,465
SPRIME,1494
CPTGF,1362
SPC,1187
ECL,1721
S11,1779
STANLY,1568
STEC,1550
KYE,1185
SE,118
EASTW,1728
TMW,1219
WG,308
GRAMMY,1190
LPF,985
BTC,47
GGC,939
TIDLOR,965
LPH,1327
DRT,1327
FPT,842
INOX,1417
AJ,1442
ESSO,1418
TK,1778
LHFG,1228
SKN,1448
SKR,1228
SABUY,639
PAP,1567
KSL,1809
TIPCO,1930
TR,1181
RS,1783
BE8,238
