name,date,price,high,low,volume,open
SPALI,2026-03-05,17.8,17.8,16.7,8408870,17.1
SPCG,2026-03-05,9.1,9.1,8.95,1291134,9.05
SPRC,2026-03-05,7.15,7.15,6.7,44142956,7.05
SPRIME,2026-03-05,3.44,3.44,3.4,495200,3.44
SSP,2026-03-05,3.26,3.3,3.24,212455,3.3
STA,2026-03-05,13.1,13.1,12.5,10808523,12.8
STGT,2026-03-05,9.0,9.0,8.35,6489413,8.35
SUPER,2026-03-05,0.1,0.11,0.09,252584797,0.1
SUPEREIF,2026-03-05,5.6,5.7,5.55,143900,5.55
SVI,2026-03-05,7.4,7.4,7.35,1367928,7.35
SYNEX,2026-03-05,9.1,9.45,8.9,4523644,9.35
TASCO,2026-03-05,12.8,12.9,12.6,3349967,12.7
TCAP,2026-03-05,56.75,57.75,56.25,4752331,57.25
TFFIF,2026-03-05,6.5,6.55,6.5,5345800,6.5
TFG,2026-03-05,6.0,6.3,5.65,60887176,6.3
THANI,2026-03-05,1.7,1.74,1.67,12374623,1.71
THG,2026-03-05,8.4,8.5,8.25,1384407,8.5
TIPH,2026-03-05,20.9,20.9,20.4,415333,20.4
TISCO,2026-03-05,112.5,113.0,112.0,4679486,113.0
TKN,2026-03-05,4.1,4.14,3.98,6051427,4.1
TKS,2026-03-05,6.4,6.5,6.35,183369,6.4
TOA,2026-03-05,14.4,15.0,14.1,3910180,15.0
TOP,2026-03-05,49.75,50.0,48.0,24277495,50.0
TPIPP,2026-03-05,1.85,1.87,1.84,3033774,1.84
TQM,2026-03-05,12.9,13.2,12.8,2200681,13.0
TRUE,2026-03-05,13.6,14.0,13.1,371805040,14.0
TSE,2026-03-05,0.39,0.4,0.38,2184549,0.38
TTA,2026-03-05,4.88,5.0,4.8,5700435,4.96
TTB,2026-03-05,2.22,2.26,2.18,495797595,2.24
TTLPF,2026-03-05,9.65,9.7,9.6,179290,9.65
TTW,2026-03-05,9.4,9.45,9.35,2883436,9.35
TU,2026-03-05,10.8,11.4,10.6,24477602,11.3
TVO,2026-03-05,24.1,24.3,23.7,1668978,23.7
VGI,2026-03-05,1.02,1.02,0.96,175263559,1.02
WHA,2026-03-05,4.04,4.16,3.98,207655458,4.12
WHAIR,2026-03-05,6.6,6.6,6.5,1744974,6.5
WHART,2026-03-05,10.3,10.5,10.2,2250661,10.4
WHAUP,2026-03-05,4.42,4.58,4.26,14126690,4.58
WICE,2026-03-05,2.54,2.54,2.48,949399,2.48
