id,name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
234,3BBIF,SET    ,8.15,11.3,7.15,999.99,0.74,78812.8,65200.0,40.31,0.59,234,2017-07-23 07:24:52.994628,2023-01-31 03:07:33.622174
698,ACE,SET100 / SETTHSI    ,2.56,3.42,2.52,17.72,1.82,5088.0,26050.56,54.63,0.92,698,2019-11-20 04:25:59.683843,2023-01-31 03:07:32.902929
6,ADVANC,SET50 / SETHD / SETTHSI    ,197.5,242.0,181.5,23.03,7.52,2974.21,587406.42,954.23,0.79,6,2017-07-23 07:24:20.932036,2023-01-31 03:07:32.912439
7,AEONTS,SET    ,196.5,209.0,152.0,12.18,2.26,250.0,49125.0,100.95,1.15,7,2017-07-23 07:24:21.066435,2023-01-31 03:07:32.918984
9,AH,sSET / SETTHSI    ,32.5,35.75,19.4,7.48,1.21,354.84,11532.37,70.31,1.51,9,2017-07-23 07:24:21.297212,2023-01-31 03:07:32.925016
720,AIE,sSET    ,2.82,5.1,2.56,21.16,1.83,1326.61,3741.05,7.19,1.17,720,2021-02-21 16:12:26.224639,2023-01-31 03:07:32.930911
669,AIMIRT,SET    ,12.3,13.0,11.7,999.99,1.0,5954.81,7324.41,2.58,0.09,669,2018-06-21 02:41:10.139548,2023-01-31 03:07:32.938331
11,AIT,sSET    ,6.7,8.35,5.4,15.32,2.46,1331.13,8918.54,40.18,1.48,11,2017-07-23 07:24:21.511814,2023-01-31 03:07:32.944176
12,AJ,sSET / SETCLMV / SETTHSI    ,13.0,19.6,11.7,13.6,1.21,440.0,5720.0,8.63,0.95,12,2017-07-23 07:24:21.638902,2023-01-31 03:07:32.950044
21,AMATA,SET100 / SETCLMV / SETTHSI    ,20.0,23.0,17.1,10.02,1.2,1150.0,23000.0,177.04,1.61,21,2017-07-23 07:24:22.672618,2023-01-31 03:07:32.955592
23,ANAN,sSET    ,1.43,1.6,1.11,999.99,0.41,416.63,5957.74,29.54,1.24,23,2017-07-23 07:24:22.911535,2023-01-31 03:07:32.961632
24,AOT,SET50 / SETTHSI    ,75.25,76.5,61.25,999.99,10.61,14285.7,1074998.93,1967.44,0.71,24,2017-07-23 07:24:23.040644,2023-01-31 03:07:32.967232
