name,rows_deleted
ECL,1721
LPF,985
RS,1783
DRT,1327
SPC,1187
WG,308
AJ,1442
TIPCO,1930
LHK,1569
FTREIT,750
BCT,465
BE8,238
SABUY,639
CNS,542
LHFG,1228
PAP,1567
SKN,1448
TMW,1219
SE,118
BAY,1228
BTC,47
KEX,1027
CPTGF,1362
FPT,855
SKR,1228
INOX,1417
GL,696
LPH,1327
STANLY,1568
GGC,939
S11,1779
TK,1778
EASTW,1737
SPRIME,1507
TIDLOR,965
KYE,1185
INTUCH,1746
ESSO,1418
STEC,0
TR,1181
S+%26+J,533
GRAMMY,1190
KSL,1809
