name,shares,unit_cost,cost_amt,dividend,div_amt,cost_pct,period
GVREIT,69000,7.75,534750.0,0.7782,53695.8,10.04,2
TVO,4000,24.9,99600.0,1.97,7880.0,7.91,3
AIMIRT,17500,10.6,185500.0,0.83,14525.0,7.83,2
PTT,7500,32.0,240000.0,2.3,17250.0,7.19,2
DIF,45000,12.7,571500.0,0.8888,39996.0,7.0,2
WHAIR,50000,8.7,435000.0,0.573,28650.0,6.59,2
TFFIF,20000,7.2,144000.0,0.4663,9326.0,6.48,2
RCL,27000,38.78,1047060.0,2.5,67500.0,6.45,3
MCS,75000,15.312,1148400.0,0.95,71250.0,6.2,2
WHART,20000,12.3,246000.0,0.6774,13548.0,5.51,2
CPF,10000,23.4,234000.0,1.25,12500.0,5.34,3
3BBIF,120000,10.1,1212000.0,0.5159,61908.0,5.11,2
CPNREIT,55000,18.0,990000.0,0.8251,45380.5,4.58,2
NER,27000,7.45,201150.0,0.31,8370.0,4.16,2
PTG,3600,11.4,41040.0,0.45,1620.0,3.95,3
SENA,105000,4.48,470400.0,0.1383,14521.5,3.09,2
ADVANC,100,380.0,38000.0,9.9999,999.99,2.63,3
TOA,1000,26.0,26000.0,0.63,630.0,2.42,3
AH,1200,37.0,44400.0,0.79,948.0,2.14,3
BCH,4000,21.7,86800.0,0.45,1800.0,2.07,3
SYNEX,17500,26.4,462000.0,0.48,8400.0,1.82,3
JMT,7000,37.7,263900.0,0.67,4690.0,1.78,4
IVL,7200,40.0,288000.0,0.7,5040.0,1.75,4
STA,10000,30.0,300000.0,0.5,5000.0,1.67,1
AWC,9000,4.96,44640.0,0.08,720.0,1.61,3
SCC,600,405.0,243000.0,5.0,3000.0,1.23,1
JMART,6800,33.0,224400.0,0.37,2516.0,1.12,4
ORI,50000,9.0,450000.0,0.07,3500.0,0.78,4
PTTGC,6000,64.75,388500.0,0.5,3000.0,0.77,1
SINGER,6000,24.8,148800.0,0.0,0.0,0.0,1
