old_symbol,new_symbol,effective_date,rows_changed,status
JWD,SJWD,2023-02-17,0,Not found
UPA,GTV,2023-03-01,0,Not found
MAKRO,CPAXT,2023-06-21,0,Not found
JASIF,3BBIF,2024-02-27,0,Not found
GIFT,RSXYZ,2024-12-24,0,Not found
W,XBIO,2025-01-13,0,Not found
NEWS,SPTX,2026-01-20,0,Not found
