name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
TOA,6.72,14.3,13.399999999999999,173.33,4133325,1512238
STA,2.86,12.6,12.25,11.36,4355301,3910887
RCL,2.75,28.0,27.25,381.18,2411874,501242
JMART,1.83,6.95,6.825,93.2,4429739,2292827
TVO,1.57,22.6,22.25,249.02,1289183,369375
SENA,1.48,1.71,1.685,457.93,358754,64301
3BBIF,1.19,6.4,6.324999999999999,161.23,5435757,2080863
NER,1.12,4.52,4.470000000000001,369.29,9178187,1955746
PTTGC,0.96,21.1,20.9,14.99,20791478,18080565
CPNREIT,0.44,11.3,11.25,9.92,1110426,1010168
IVL,0.31,16.2,16.15,51.58,20125198,13276937
JMT,0.29,8.7,8.675,103.19,5277875,2597462
DIF,0.27,9.45,9.425,37.55,5541291,4028668
MCS,0.0,8.3,8.3,81.63,181500,99928
AH,0.0,12.5,12.5,101.14,131884,65568
SINGER,-0.21,4.84,4.85,95.8,866041,442303
SYNEX,-0.75,9.95,10.024999999999999,35.86,962960,708813
AWC,-0.94,2.1,2.12,80.65,56301554,31165832
ORI,-2.76,1.76,1.81,163.04,6898732,2622689
GVREIT,-2.96,6.55,6.75,378.41,1702434,355853
