id,name,full_name,sector,subsector,market,website,created_at,updated_at
727,2S,2S METAL PUBLIC COMPANY LIMITED,Industrials,Steel and Metal Products,SET,www.ss.co.th,2021-08-22 15:11:51.474692,2021-08-22 15:11:51.474692
234,3BBIF,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND,Technology,Information & Communication Technology,SET,www.jas-if.com,2017-07-23 06:31:17.769146,2019-03-03 03:43:41.108383
1,A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET,www.areeya.co.th,2017-07-23 06:30:42.888033,2017-07-23 06:30:42.888033
732,AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,sSET / SETTHSI,www.aavplc.com,2021-08-29 06:31:32.524107,2022-01-15 03:54:12.597048
698,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET100,www.ace-energy.co.th,2019-11-19 07:11:16.920183,2021-01-26 15:41:59.109472
6,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,SET50 / SETHD / SETTHSI,investor.ais.co.th,2017-07-23 06:30:43.494530,2021-07-07 03:34:13.518706
7,AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET100,www.aeon.co.th,2017-07-23 06:30:43.592682,2019-03-03 03:43:36.718624
9,AH,AAPICO HITECH PUBLIC COMPANY LIMITED,Industrials,Automotive,sSET / SETTHSI,www.aapico.com,2017-07-23 06:30:43.935758,2021-07-07 03:34:13.530450
719,AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET,www.asianinsulators.com,2021-02-21 16:04:22.273045,2021-02-21 16:04:22.273045
720,AIE,AI ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET,www.aienergy.co.th,2021-02-21 16:12:17.821078,2022-01-15 03:54:12.607554
669,AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,www.aimreit.com,2018-06-21 02:39:56.326926,2018-06-21 02:39:56.326926
11,AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",Technology,Information & Communication Technology,sSET,www.ait.co.th,2017-07-23 06:30:44.134557,2017-12-27 02:26:11.417971
12,AJ,A.J. PLAST PUBLIC COMPANY LIMITED,Industrials,Packaging,sSET / SETCLMV,www.ajplast.co.th,2017-07-23 06:30:44.227648,2021-07-07 03:34:13.547356
14,AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET,www.ekarat.co.th,2017-07-23 06:30:44.435854,2019-03-03 03:43:36.913998
16,ALT,ALT TELECOM PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,sSET,www.alt.co.th,2017-07-23 06:30:44.669117,2021-01-26 15:41:59.141815
19,AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,sSET,www.amanah.co.th,2017-07-23 06:30:45.011140,2021-01-26 15:41:59.148168
20,AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET,www.amarin.com,2017-07-23 06:30:45.119467,2018-08-12 12:53:41.245572
21,AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET100 / SETCLMV / SETTHSI,www.amata.com,2017-07-23 06:30:45.227516,2019-03-03 03:43:37.010600
22,AMC,ASIA METAL PUBLIC COMPANY LIMITED,Industrials,Steel and Metal Products,SET,www.asiametal.co.th,2017-07-23 06:30:45.394277,2021-08-22 18:21:29.793040
23,ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,sSET,www.ananda.co.th,2017-07-23 06:30:45.502451,2021-01-26 15:41:59.156219
24,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,SET50 / SETTHSI / SETWB,www.airportthai.co.th,2017-07-23 06:30:45.602790,2019-11-19 07:11:17.414808
25,AP,AP (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET100 / SETHD,www.apthai.com,2017-07-23 06:30:45.709407,2017-07-23 06:30:45.709407
27,APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,sSET,www.asiaprecision.com,2017-07-23 06:30:45.910731,2021-07-07 03:34:13.563548
28,APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,sSET,www.apureholdings.com,2017-07-23 06:30:46.027401,2021-07-07 03:34:13.570571
29,AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET,www.aquacorp.co.th,2017-07-23 06:30:46.135846,2018-06-21 02:39:56.744435
31,ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,Property & Construction,Property & Construction,mai,www.arrowpipe.com,2017-07-23 06:30:46.343810,2022-01-15 03:54:12.624187
34,ASEFA,ASEFA PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,SET,www.asefa.co.th,2017-07-23 06:30:46.702009,2018-08-12 12:53:42.905970
36,ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,sSET / SETTHSI,www.asianseafoods.co.th,2017-07-23 06:30:46.928337,2022-01-15 03:54:12.629742
38,ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET,www.ask.co.th,2017-07-23 06:30:47.135935,2022-01-15 03:54:12.634778
40,ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Financials,Finance & Securities,sSET,www.asiaplusgroup.co.th,2017-07-23 06:30:47.385453,2017-12-27 02:26:12.204614
728,ASW,ASSETWISE PUBLIC COMPANY LIMITED,Property & Construction,Property Development,sSET,www.assetwise.co.th,2021-08-22 15:11:51.493365,2022-01-15 03:54:12.640882
42,AU,AFTER YOU PUBLIC COMPANY LIMITED,Agro & Food Industry,,mai,www.afteryoudessertcafe.com,2017-07-23 06:30:47.585432,2017-07-23 06:30:47.585432
43,AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,Services,,mai,www.auct.co.th,2017-07-23 06:30:47.686058,2017-07-23 06:30:47.686058
699,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET50 / SETTHSI,https://www.assetworldcorp-th.com,2019-11-19 07:11:17.786612,2022-01-15 03:54:12.645916
44,AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,Financials,Insurance,SET,www.ayud.co.th,2017-07-23 06:30:47.871752,2019-11-19 07:11:17.933427
45,BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,SETWB,www.bangkokair.com,2017-07-23 06:30:47.986112,2022-01-15 03:54:12.651589
46,BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,Resources,Energy & Utilities,sSET / SETTHSI,www.bafsthai.com,2017-07-23 06:30:48.093875,2021-01-26 15:41:59.193689
709,BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET100,www.bam.co.th,2021-01-26 15:41:59.199563,2021-07-07 03:34:13.592229
47,BANPU,BANPU PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET50 / SETCLMV / SETTHSI,www.banpu.com,2017-07-23 06:30:48.193688,2022-01-15 03:54:12.658443
49,BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,Financials,Banking,SET,www.krungsri.com,2017-07-23 06:30:48.385483,2017-07-23 06:30:48.385483
50,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Financials,Banking,SET50 / SETHD / SETTHSI,www.bangkokbank.com,2017-07-23 06:30:48.527545,2021-01-26 15:41:59.211945
