video_id,title,published,view_count,hms_format
sLeTVLS5jmc,33 Google AI Features You Won't Believe are Free,2025-11-11,176741,0:26:19
aK6sfIX37Ao,Google Nano Banana for Video - 10+ INSANE Use Cases,2025-09-14,87165,0:20:21
m8Ve7hNl9P0,Google Nano Banana is WILD - 50+ Use Cases,2025-08-29,456575,0:25:36
TGaoZpvs1Fo,Unlock Gemini’s Powers in Google AI Studio (Full Guide),2025-08-11,190290,0:28:08
0I19xtFz9rI,"Google Veo 3 Changes Everything – Video, SFX, and Speech all at Once",2025-05-23,513803,0:22:57
zydSSdb0C-Y,New Google AI Video Generator Competes with Sora | Veo Text to Video,2024-05-15,65618,0:08:55
3dPTWHHiiBw,ChatGPT is Google 2.0,2023-02-19,8321,0:00:30
