song_title_db,artist_name_db,youtube_code
You Send Me,Sam Cooke,mrwfB4aAZZc
Honky Tonk Women,Rolling Stones The,dj7yd19aAW0
Take Me to the River,Al Green,9FBUgdhxe9M
Crazy in Love,Beyonce feat. Jay-Z ,IrYwp0ujwCs
Go Your Own Way,Fleetwood Mac ,6ul-cZyuYq4
I Want You Back,Jackson 5 The,DGDyAb6pePo
Stand By Me,Ben E. King,hwZNL7QVJjE
Will You Love Me Tomorrow,Shirelles The,cnPlJxet_ac
House of the Rising Sun,Animals The,N4bFqW_eu2I
"Shake, Rattle & Roll",Big Joe Turner,rJoTiZ0tHYc
Born to Be Wild,Steppenwolf ,5UWRypqz5-o
Maggie May,Rod Stewart,m2CQ0FvAZuw
In the Midnight Hour,Wilson Pickett,FGVGFfj7POA
Your Song,Elton John,GlPlfCy1urI
Family Affair,Sly and the Family Stone ,xag5RKD0VHk
All I Have to Do Is Dream,Everly Brothers The,25dAa293YUo
Rock Lobster,B-52’s The,ofkzvM7Skxg
Me and Bobby McGee,Janis Joplin,5Cg-j0X09Ag
Lust for Life,Iggy Pop,HuBU3pzy7is
Earth Angel,Penguins The,ecaOppjsOIE
I Only Have Eyes for You,Flamingos The,FvzNeh4Mq1o
(We’re Gonna) Rock Around the Clock,Bill Haley and His Comets ,DFHCy_joxaA
I’m Waiting for the Man,Velvet Underground The,MOmZimH00oo
Bring the Noise,Public Enemy ,mZF4G79OLkk
Nothing Compares 2 U,Sinead O’Connor,0-EF60neguk
Bohemian Rhapsody,Queen ,nEN5eeQbPL4
Fast Car,Tracy Chapman,JpscHOoGIqQ
Losing My Religion,R.E.M. ,xwtdhWltSIg
Both Sides Now,Joni Mitchell,aCnf46boC3I
99 Problems,Jay-Z ,nmy113gMds0
Dream On,Aerosmith ,sZfZ8uWaOFI
Dancing Queen,Abba ,xFrGuyw1V8s
God Save the Queen,Sex Pistols The,R8fLOJswWtk
I Fought the Law,Bobby Fuller Four The,OgtQj8O92eI
Free Fallin,Tom Petty,1lWJXDG2i0A
September Gurls,Big Star ,BNKSs1J38EA
Love Will Tear Us Apart,Joy Division ,QbhtVGskmzM
Hey Ya!,OutKast ,e0q3lby5bDQ
Green Onions,Booker T. and the MG’s ,_bpS-cOBK6Q
The Thrill is Gone,B.B. King ,4fk2prKnYnI
Back in Black,ACDC ,pAgnJDJN4VA
Stayin’ Alive,Bee Gees ,I_izvAbhExY
Free Bird,Lynyrd Skynyrd ,QxIWDmmqZzY
Rehab,Amy Winehouse,KUmZp8pR1uc
Wichita Lineman,Glen Campbell,AxSarBcsKLU
Sweet Child O’Mine,Guns n’ Roses ,1w7OgIMMRc4
Maybe,Chantels The,IePTH1PWzAs
Paranoid,Black Sabbath ,uk_wUT1CvWM
Comfortably Numb,Roger Waters,wpFo_E9Fq2k
Wish You Were Here,Pink Floyd ,6qQjvWXrNkg
Way of the World,"Earth, Wind and Fire ",QhW3P7_jvWY
Ohio,"Crosby, Stills, Nash and Young ",TRE9vMBBe10
Enter Sandman,Metallica ,CD-E-LDc384
I Want to Know What Love Is,Foreigner ,raNGeq3_DtM
Clocks,Coldplay ,d020hcWA_Wg
American Idiot,Green Day ,Ee_uujKuJMI
Won’t Get Fooled Again,Who The,SHhrZgojY1Q
Another Brick in the Wall Part 2,Pink Floyd ,YR5ApYxkU-U
Born in the U.S.A.,Bruce  Springsteen,lZD4ezDbbu4
Highway to Hell,ACDC ,l482T0yNkeo
Your Cheatin' Heart,Hank Williams,Jg2oR91_r5I
Pride (In the Name of Love),U2 ,897WjTBePik
Candle in the Wind,Elton John,OefdqK3jKi0
Baba O’Riley,Who The,x2KRpRMSu4g
Wild Horses,Rolling Stones The,ZNaqBBjrIZw
We Will Rock You,Queen ,-tJYN-eG1zk
Paradise City,Guns n’ Roses ,Rbm6GXllBiw
Rockin' in the Free World,Neil Young,TnAgc1kgvLc
I Love Rock ‘N Roll,Joan Jett and the Blackhearts ,xL5spALs-eA
Tears in Heaven,Eric Clapton,tUU1GLMdnkM
Hallelujah,Jeff Buckley,y8AWFf7EAc4
While My Guitar Gently Weeps,Beatles The,VJDJs9dumZI
