song_title_db,artist_name_db,youtube_code
Shape of You,Ed Sheeran,JGwWNGJdvx8
Opalite,Taylor Swift,3PJC6uPIekc
The Fate of Ophelia,Taylor Swift,ko70cExuzZM
You're Beautiful,James Blunt,oofSnsGkops
Thank You,Dido ,EGXtEE-YX7s
Cold Heart,Elton John,qod03PVTLqk
Eternal Flame,The Bangles,YpGs0grxfvU
I Hate Myself for Loving You,Joan Jett and the Blackhearts ,bpNw7jYkbVc
Against the Wind,Bob Seger,lB9sBvE254E
Tequila Sunrise,Eagles The,bZxhQJC9hWk
Peaceful Easy Feeling,Eagles The,PPYYfYAWoj8
See You Again,Wiz Khalifa,RgKAFK5djSk
Chan Fu (CN),Ma Jiantao,GexT3LET3Ts
Memories,Maroon 5 ,SlPhMPnQ58k
Mei Chu Xi (CN),Wang Luo Ge Shou,D--sPRrefn8
Sunflower,Post Malone,ApXoWvfEYVU
I Love You,Vanny Vabiola,z1fq-KhPg4E
Time of Our LIves (CN),Zhao Lei,WtYx1geh_sg
Home,Michael Buble,1EfmsubBc-U
One More Night,Maroon 5 ,fwK7ggA3-bU
Someone Like You,Adele ,hLQl3WQQoQ0
Need You Now,Antebellum Lady,eM213aMKTHg
Zombie,Cranberries The,6Ejga4kJUts
All of Me,John Legend,450p7goxZqg
Dreams,Fleetwood Mac ,v4fH2G0DclA
Bleeding Love,Leona Lewis,Vzo-EL_62fQ
Girl on Fire,Alicia Keys,J91ti_MpdHA
Bad Guy,Billie Eilish,DyDfgMOUjCI
Family Affair,Mary J.Blige,znlFu_lemsU
You’re Still The One,Shania Twain,KNZH-emehxA
End Of The Road,Boyz II Men ,zDKO6XYXioc
Un-Break My Heart,Toni Braxton,p2Rch6WvPJE
Rolling in the Deep,Adele ,rYEDA3JcQqw
Just The Way You Are,Bruno Mars,LjhCEhWiKXk
Total Eclipse of the Heart (Turn Around),Bonnie Tyler,lcOxhH8N3Bo
Just Give Me A Reason,P!nk ,OpQFFLBMEPI
How Do I Live,LeAnn Rimes,MUFasKZcH_c
Angel,Sarah McLachlan,VLZ9Ike2Geo
One Night In Bangkok,Murray Head,rgc_LRjlbTU
Dust in the Wind,Kansas ,tH2w6Oxx0kQ
Take It Easy,Eagles The,AaBw37-nWaY
Desperado,Eagles The,FiPqUjLMuA8
Here Comes The Sun,Beatles The,KQetemT1sWc
Careless Whisper,George Michael,izGwDsrQ1eQ
I'd Rather Go Blind,Etta James,rmREDIEePBU
People Get Ready,Rod Stewart,yC_j_dzkaVE
Don't Stop Believin',Journey ,VcjzHMhBtf0
Girls Just Want To Have Fun,Cyndi Lauper,PIb6AZdTr-A
With A Little Help From My Friends,Joe Cocker,rr0X1wJ7lx8
What A Wonderful World,Louis Armstrong,rBrd_3VMC3c
Massachusetts,Bee Gees ,FuoWykVNwyI
Don't Worry Be Happy,Bobby McFerrin,d-diB65scQU
Karma Chameleon,Culture Club ,JmcA9LIIXWw
Yellow,Coldplay ,yKNxeF4KMsY
Streets of London,Ralph McTell,SpLMpu2-MXo
Last Christmas,Wham ,E8gmARGvPlI
Honey,Bobby Goldsboro,htV9mrrb5rA
Right Here Waiting,Richard Marx,S_E2EHVxNAE
Wind Of Change,Scorpions ,n4RjJKxsamQ
Please Forgive Me,Bryan Adams,7x8wPt8xarE
Jive Talkin',Bee Gees ,oALKAh_bL5g
You Should Be Dancing,Bee Gees ,AnV2iqSnty0
Too Much Heaven,Bee Gees ,i6iBAuwBODA
Night Fever,Bee Gees ,SkypZuY6ZvA
I Started A Joke,Bee Gees ,XYb-w39sGlY
Thriller,Michael Jackson,sOnqjkJTMaA
Smooth Criminal,Michael Jackson,sFvENQBc-F8
Man In The Mirror,Michael Jackson,PivWY9wn5ps
Style,Taylor Swift,-CmadmM5cOk
cardigan,Taylor Swift,K-a8s8OLBSE
Blank Space,Taylor Swift,e-ORhEE9VVg
Anti-Hero,Taylor Swift,b1kbLwvqugk
Love Story,Taylor Swift,8xg3vE8Ie_E
You Belong With Me,Taylor Swift,VuNIsY6JdUw
Shake It Off,Taylor Swift,2CEotxDS6gc
Wildest Dreams,Taylor Swift,IdneKLhsWOQ
Sacrifice,Elton John,NrLkTZrPZA4
Don't Let Me Down,Beatles The,NCtzkaL2t_Y
Nothing's Gonna Stop Us Now,Starship ,3wxyN3z9PL4
Don’t Let the Sun Go Down on Me,Elton John,RsKqMNDoR4o
Bennie and the Jets,Elton John,wo1OwRTRKRk
Something About the Way You Look Tonight,Elton John,B93Tir6l5FA
Angie,Rolling Stones The,RcZn2-bGXqQ
As Tears Go By,Rolling Stones The,3P0COo6jSlY
To Love Somebody,Bee Gees ,0kUsuIvE0_8
รวมเพลง ใหม่ เจริญปุระ (TH),ใหม่  เจริญปุระ,Tr30lqzUOKY
ถ้าหัวใจมีปีก (TH),ไข่มุก เพ็ญสินี,34AMaQvtAsc
คนจะรักกัน (TH),สุเทพ วงศ์กำแหง,QSY_hjAZsSA
สวยจริงๆ (TH),สุรพล สมบัติเจริญ,RqiKNIU9pxU
ยิ้มกลางสายฝน (TH),หงา คาราวาน,3ImUY-AQSrw
เสมอ (TH),พงษ์สิทธิ์ คำภีร์,wHYEYJGURpM
แสงจันทร์ (TH),ไข่ มาลีฮวนน่า,MkwaSaRm5Qc
ลุงขี้เมา (TH),คาราบาว ,IHvzsDAZCzc
ความเงียบดังที่สุด (TH),Getsunova ,TMr6subvuQI
ขอใจเธอแลกเบอร์โทร (TH),หญิงลี ศรีจุมพล,CKDwsFbq1_c
ตราบธุลีดิน (TH),ปู่จ๋านลองไมค์ ,V4pdp4d4NWo
รักเอ๋ย (TH),ธงไชย แมคอินไตย์,Qbr7CH40OS4
ถั่งโถมโหมแรงไฟ (TH),หงา คาราวาน,U5kzBaIqrY0
แสงดาวแห่งศรัทธา (TH),เพ็ญศรี พุ่มชูศรี,RuNaF6R59cg
อยู่ตรงนี้ (TH),พงษ์สิทธิ์ คำภีร์,w827Ayb9I0w
รักคงยังไม่พอ (TH),ธนพล อินทฤทธิ์,JXI21WGBItA
แสงสุดท้าย (TH),bodyslam ,bRpZzTkO9kc
คืนรัง (TH),หงา คาราวาน,hCA2aaMHFOs
แค่นั้น (TH),พงษ์สิทธิ์ คำภีร์,uJsYYsVb9Ys
Old Love,Eric Clapton,vSHPkq6aYSs
 I Don't Want to Talk About It,Rod Stewart,w46bWxS9IjY
ซมซาน (TH),เสก โลโซ,2dSGCzeuPlA
ใจสั่งมา (TH),เสก โลโซ,RXZ5X_LGX9Q
คืนจันทร์ (TH),เสก โลโซ,G2JFOEFmnnI
ดอกไม้ให้คุณ (TH),หงา คาราวาน,tpyIqj06Acs
Sukiyaki (JP),Kyu Sakamoto,sOSnOqSTI0Q
Subaru (JP),Shinji Tanimura,gbsGmF8u68Y
Just Like You (CN),Chris Lee,3Sj8F6Rdjg0
Child (PH),Freddie Aguilar,o-n6ok1uLjQ
Tian Mi Mi (CN),Teresa Teng,tc2tW0jFHPo
The Moon Represents My Heart (CN),Teresa Teng,bv_cEeDlop0
Morning Has Broken,Cat Stevens,j_efw1-3OvU
Cat's In The Cradle,Harry Chapin,OcNsiccdDyU
One More Light,Linkin Park ,Tm8LGxTLtQk
