song_title,artist,filename,id_x,artist_name,youtube_code
Flowers,Miley Cyrus,Flowers_Miley Cyrus.mp4,491.0,Miley Cyrus,Sok3OorM9w8
Forever Young,UNDRESSD,Forever Young_UNDRESSD .mp4,496.0,UNDRESSD ,7c5S50Eh36k
Gimme Shelter,Rolling Stones The,Gimme Shelter_Rolling Stones The.mp4,38.0,Rolling Stones The,8kl6q_9qZOs
Girl on Fire,Alicia Keys,Girl on Fire_Alicia Keys.mp4,529.0,Alicia Keys,J91ti_MpdHA
Girls Just Want To Have Fun,Cyndi Lauper,Girls Just Want To Have Fun_Cyndi Lauper.mp4,551.0,Cyndi Lauper,PIb6AZdTr-A
Goodbye Yellow Brick Road,Elton John,Goodbye Yellow Brick Road_Elton John.mp4,466.0,Elton John,wy709iNG6i8
Hallelujah,Jeff Buckley,Hallelujah_Jeff Buckley.mp4,192.0,Jeff Buckley,y8AWFf7EAc4
Have You Ever Seen the Rain,Creedence Clearwater Revival,Have You Ever Seen the Rain_Creedence Clearwater Revival .mp4,316.0,Creedence Clearwater Revival ,u1V8YRJnr4Q
Heart of Gold,Neil Young,Heart of Gold_Neil Young.mp4,404.0,Neil Young,__ziwctF1I0
Here Comes The Sun,Beatles The,Here Comes The Sun_Beatles The.mp4,546.0,Beatles The,KQetemT1sWc
Hey Jude,Beatles The,Hey Jude_Beatles The.mp4,9.0,Beatles The,A_MjCqQoLLA
Highway to Hell,ACDC,Highway to Hell_ACDC .mp4,181.0,ACDC ,l482T0yNkeo
Home,Michael Buble,Home_Michael Buble.mp4,521.0,Michael Buble,1EfmsubBc-U
Honey,Bobby Goldsboro,Honey_Bobby Goldsboro.mp4,560.0,Bobby Goldsboro,htV9mrrb5rA
Honky Tonk Women,Rolling Stones The,Honky Tonk Women_Rolling Stones The.mp4,119.0,Rolling Stones The,dj7yd19aAW0
Hotel California,Eagles The,Hotel California_Eagles The.mp4,49.0,Eagles The,VgVa2ep-3AQ
House of the Rising Sun,Animals The,House of the Rising Sun_Animals The.mp4,127.0,Animals The,N4bFqW_eu2I
How Can You Mend a Broken Heart,Bee Gees,How Can You Mend a Broken Heart_Bee Gees .mp4,427.0,Bee Gees ,kL9wJAND1WI
How Deep Is Your Love,Bee Gees,How Deep Is Your Love_Bee Gees .mp4,409.0,Bee Gees ,NQNWQt5VPSM
How Do I Live,LeAnn Rimes,How Do I Live_LeAnn Rimes.mp4,540.0,LeAnn Rimes,MUFasKZcH_c
I Don't Want to Talk About It,Rod Stewart,I Don't Want to Talk About It_Rod Stewart.mp4,,,
I Hate Myself for Loving You,Joan Jett and the Blackhearts,I Hate Myself for Loving You_Joan Jett and the Blackhearts .mp4,510.0,Joan Jett and the Blackhearts ,bpNw7jYkbVc
I Love You,Vanny Vabiola,I Love You_Vanny Vabiola.mp4,519.0,Vanny Vabiola,z1fq-KhPg4E
I Started A Joke,Bee Gees,I Started A Joke_Bee Gees .mp4,568.0,Bee Gees ,XYb-w39sGlY
I Want to Know What Love Is,Foreigner,I Want to Know What Love Is_Foreigner .mp4,174.0,Foreigner ,raNGeq3_DtM
I Will Always Love You,Whitney Houston,I Will Always Love You_Whitney Houston.mp4,282.0,Whitney Houston,3JWTaaS7LdU
I'd Rather Go Blind,Etta James,I'd Rather Go Blind_Etta James.mp4,548.0,Etta James,rmREDIEePBU
I'll Be Missing You,Puff Daddy & Faith Evans,I'll Be Missing You_Puff Daddy & Faith Evans .mp4,288.0,Puff Daddy & Faith Evans ,tJalXjMXqhc
I'm Alive,Celine Dion,I'm Alive_Celine Dion.mp4,292.0,Celine Dion,NJsa6-y4sDs
If,Bread,If_Bread .mp4,325.0,Bread ,wjgJh0Nwbt4
Imagine,John Lennon,Imagine_John Lennon.mp4,5.0,John Lennon,VOgFZfRVaww
In My Life,Beatles The,In My Life_Beatles The.mp4,25.0,Beatles The,QR1CwJTXUIk
Jive Talkin',Bee Gees,Jive Talkin'_Bee Gees .mp4,564.0,Bee Gees ,oALKAh_bL5g
Jumpin’ Jack Flash,Rolling Stones The,Jumpin’ Jack Flash_Rolling Stones The.mp4,206.0,Rolling Stones The,DARZS3ipWoI
Just Give Me A Reason,P!nk,Just Give Me A Reason_P!nk .mp4,539.0,P!nk ,OpQFFLBMEPI
Just Like You (CN),Chris Lee,Just Like You (CN)_Chris Lee.mp4,619.0,Chris Lee,3Sj8F6Rdjg0
Karma Chameleon,Culture Club,Karma Chameleon_Culture Club .mp4,556.0,Culture Club ,JmcA9LIIXWw
Knockin’ on Heaven’s Door,Bob Dylan,Knockin’ on Heaven’s Door_Bob Dylan.mp4,234.0,Bob Dylan,rm9coqlk8fY
Last Christmas,Wham,Last Christmas_Wham .mp4,559.0,Wham ,E8gmARGvPlI
Let Her Go,Passenger,Let Her Go_Passenger .mp4,493.0,Passenger ,xv1EprTdgBE
Let It Be,Beatles The,Let It Be_Beatles The.mp4,22.0,Beatles The,CGj85pVzRJs
Life for Rent,Dido,Life for Rent_Dido .mp4,500.0,Dido ,Bwt9GZmAWKo
Like a Rolling Stone,Bob Dylan,Like a Rolling Stone_Bob Dylan.mp4,1.0,Bob Dylan,IwOfCgkyEj0
Love Story,Taylor Swift,Love Story_Taylor Swift.mp4,577.0,Taylor Swift,8xg3vE8Ie_E
Love and Hate,Michael Kiwanuka,Love and Hate_Michael Kiwanuka.mp4,485.0,Michael Kiwanuka,w44dlsnJ1no
Maggie May,Rod Stewart,Maggie May_Rod Stewart.mp4,131.0,Rod Stewart,m2CQ0FvAZuw
Make It With You,Bread,Make It With You_Bread .mp4,324.0,Bread ,8ATI4S7N9ks
