artist,title,date,type,filename,duration_seconds,duration_minutes
Lukas Graham,7 Years,2026-11-01,L,7 Years_Lukas Graham.mp4,239.32999999999998,3.988833333333333
Juice Newton,Angel Of The Morning,2026-11-01,L,Angel Of The Morning_Juice Newton.mp4,233.38,3.8896666666666664
Timbaland,Apologize,2026-11-01,L,Apologize_Timbaland .mp4,188.83,3.1471666666666667
OneRepublic,Counting Stars,2026-11-01,L,Counting Stars_OneRepublic .mp4,283.21,4.720166666666667
Olivia Rodrigo,drivers license,2026-11-01,L,drivers license_Olivia Rodrigo.mp4,247.17,4.1194999999999995
DJ Snake,Let Me Love You,2026-11-01,L,Let Me Love You_DJ Snake .mp4,205.5,3.425
Avril Lavigne,Love Will Find You,2026-11-01,L,Love Will Find You_Avril Lavigne.mp4,314.46,5.241
Sinead O’Connor,Nothing Compares 2 U,2026-11-01,L,Nothing Compares 2 U_Sinead O’Connor.mp4,308.21,5.136833333333333
Marmalade The,Reflections of My Life,2026-11-01,L,Reflections of My Life_Marmalade The.mp4,242.79,4.0465
Weeknd The,Save Your Tears,2026-11-01,L,Save Your Tears_Weeknd The.mp4,249.0,4.15
Nelly  Furtado,Say It Right,2026-11-01,L,Say It Right_Nelly  Furtado.mp4,234.92000000000002,3.9153333333333338
Shawn Mendes,Senorita,2026-11-01,L,Senorita_Shawn Mendes.mp4,205.54,3.4256666666666664
Ronan Keating,When You Say Nothing At All,2026-11-01,L,When You Say Nothing At All_Ronan Keating.mp4,263.13,4.3854999999999995
Pink Floyd,Wish You Were Here,2026-11-01,L,Wish You Were Here_Pink Floyd .mp4,368.67,6.1445
Calum Scott,You Are The Reason,2026-11-01,L,You Are The Reason_Calum Scott.mp4,204.92000000000002,3.4153333333333338
