period,name,shares,first_price,last_price,min_price,max_price,price_change,pct_change,set_pct_change,vs_set,current_value,performance
4,IVL,7200,16.1,22.9,15.9,24.3,6.799999999999997,42.236024844720475,21.32225106575531,20.913773778965165,164880.0,Better
3,PTG,3600,7.1,9.95,6.9,10.2,2.8499999999999996,40.14084507042253,21.32225106575531,18.81859400466722,35820.0,Better
1,PTTGC,6000,21.0,28.25,20.3,29.25,7.25,34.523809523809526,21.32225106575531,13.201558458054215,169500.0,Better
4,JMT,7000,8.75,11.1,7.65,11.7,2.3499999999999996,26.85714285714285,21.32225106575531,5.53489179138754,77700.0,Better
1,SINGER,6000,4.88,6.0,4.1,6.55,1.12,22.95081967213115,21.32225106575531,1.6285686063758398,36000.0,Better
1,SCC,600,183.5,225.0,182.5,229.0,41.5,22.615803814713896,21.32225106575531,1.2935527489585859,135000.0,Better
3,ADVANC,100,313.0,380.0,312.0,410.0,67.0,21.405750798722046,21.32225106575531,0.08349973296673596,38000.0,Better
1,STA,10000,12.2,14.7,12.0,15.5,2.5,20.491803278688526,21.32225106575531,-0.8304477870667846,147000.0,Worse
4,ORI,50000,1.79,2.14,1.64,2.3,0.3500000000000001,19.553072625698327,21.32225106575531,-1.769178440056983,107000.0,Worse
3,AH,1200,12.6,14.9,12.1,15.3,2.3000000000000007,18.25396825396826,21.32225106575531,-3.06828281178705,17880.0,Worse
3,AWC,9000,2.12,2.5,1.92,2.8,0.3799999999999999,17.924528301886784,21.32225106575531,-3.3977227638685257,22500.0,Worse
3,TOA,1000,13.6,15.8,13.2,16.4,2.200000000000001,16.176470588235304,21.32225106575531,-5.145780477520006,15800.0,Worse
2,PTT,7500,32.0,37.0,31.5,37.75,5.0,15.625,21.32225106575531,-5.69725106575531,277500.0,Worse
2,WHAIR,50000,6.15,7.0,6.15,7.0,0.8499999999999996,13.821138211382108,21.32225106575531,-7.501112854373202,350000.0,Worse
2,MCS,75000,8.35,9.5,8.1,9.75,1.1500000000000004,13.772455089820365,21.32225106575531,-7.549795975934945,712500.0,Worse
4,JMART,6800,6.9,7.85,5.85,8.45,0.9499999999999993,13.768115942028974,21.32225106575531,-7.554135123726336,53380.0,Worse
3,RCL,27000,27.25,30.75,27.0,31.0,3.5,12.844036697247708,21.32225106575531,-8.478214368507603,830250.0,Worse
2,SENA,105000,1.69,1.9,1.63,1.91,0.20999999999999996,12.426035502958579,21.32225106575531,-8.896215562796732,199500.0,Worse
3,TVO,4000,22.4,24.7,22.1,25.25,2.3000000000000007,10.267857142857146,21.32225106575531,-11.054393922898164,98800.0,Worse
2,NER,27000,4.48,4.92,4.44,5.4,0.4399999999999995,9.821428571428559,21.32225106575531,-11.500822494326751,132840.0,Worse
2,TFFIF,20000,6.25,6.8,6.2,6.95,0.5499999999999998,8.799999999999997,21.32225106575531,-12.522251065755313,136000.0,Worse
2,CPNREIT,55000,11.3,12.1,11.0,12.1,0.7999999999999989,7.079646017699106,21.32225106575531,-14.242605048056205,665500.0,Worse
2,3BBIF,120000,6.3,6.7,6.3,6.75,0.40000000000000036,6.349206349206354,21.32225106575531,-14.973044716548955,804000.0,Worse
3,BCH,4000,10.4,11.0,9.2,11.7,0.5999999999999996,5.769230769230766,21.32225106575531,-15.553020296524544,44000.0,Worse
2,WHART,20000,10.7,11.2,10.2,11.2,0.5,4.672897196261683,21.32225106575531,-16.649353869493627,224000.0,Worse
4,AIMIRT,17500,10.9,11.4,10.4,11.4,0.5,4.587155963302751,21.32225106575531,-16.735095102452558,199500.0,Worse
2,DIF,45000,9.45,9.6,9.3,9.6,0.15000000000000036,1.587301587301591,21.32225106575531,-19.734949478453718,432000.0,Worse
3,SYNEX,17500,9.95,10.1,9.35,11.3,0.15000000000000036,1.507537688442215,21.32225106575531,-19.814713377313094,176750.0,Worse
2,GVREIT,69000,6.75,6.65,6.5,6.8,-0.09999999999999964,-1.481481481481476,21.32225106575531,-22.803732547236788,458850.0,Worse
3,CPF,10000,21.8,21.0,20.3,22.0,-0.8000000000000007,-3.6697247706422047,21.32225106575531,-24.991975836397515,210000.0,Worse
