period,name,shares,first_price,last_price,price_change,pct_change,set_pct_change,vs_set,current_value,performance
4,IVL,7200,16.2,22.9,6.699999999999999,41.35802469135802,19.390648802781143,21.967375888576875,164880.0,Better
3,PTG,3600,7.15,9.95,2.799999999999999,39.160839160839146,19.390648802781143,19.770190358058002,35820.0,Better
1,PTTGC,6000,21.1,28.25,7.149999999999999,33.886255924170605,19.390648802781143,14.495607121389462,169500.0,Better
4,JMT,7000,8.7,11.1,2.4000000000000004,27.58620689655173,19.390648802781143,8.195558093770586,77700.0,Better
1,SINGER,6000,4.84,6.0,1.1600000000000001,23.966942148760335,19.390648802781143,4.576293345979192,36000.0,Better
4,ORI,50000,1.76,2.14,0.3800000000000001,21.590909090909097,19.390648802781143,2.2002602881279536,107000.0,Better
3,AH,1200,12.5,14.9,2.4000000000000004,19.200000000000003,19.390648802781143,-0.1906488027811406,17880.0,Worse
3,AWC,9000,2.1,2.5,0.3999999999999999,19.047619047619044,19.390648802781143,-0.34302975516209955,22500.0,Worse
1,SCC,600,190.0,225.0,35.0,18.421052631578945,19.390648802781143,-0.9695961712021983,135000.0,Worse
3,ADVANC,100,321.0,380.0,59.0,18.38006230529595,19.390648802781143,-1.0105864974851926,38000.0,Worse
1,STA,10000,12.6,14.7,2.0999999999999996,16.666666666666664,19.390648802781143,-2.723982136114479,147000.0,Worse
2,PTT,7500,31.75,37.0,5.25,16.535433070866144,19.390648802781143,-2.855215731914999,277500.0,Worse
2,MCS,75000,8.3,9.5,1.1999999999999993,14.457831325301196,19.390648802781143,-4.932817477479947,712500.0,Worse
4,JMART,6800,6.95,7.85,0.8999999999999995,12.949640287769776,19.390648802781143,-6.441008515011367,53380.0,Worse
2,WHAIR,50000,6.2,7.0,0.7999999999999998,12.90322580645161,19.390648802781143,-6.487422996329533,350000.0,Worse
2,SENA,105000,1.71,1.9,0.18999999999999995,11.111111111111107,19.390648802781143,-8.279537691670036,199500.0,Worse
3,TOA,1000,14.3,15.8,1.5,10.48951048951049,19.390648802781143,-8.901138313270653,15800.0,Worse
3,RCL,27000,28.0,30.75,2.75,9.821428571428571,19.390648802781143,-9.569220231352572,830250.0,Worse
3,TVO,4000,22.6,24.7,2.099999999999998,9.292035398230079,19.390648802781143,-10.098613404551065,98800.0,Worse
2,NER,27000,4.52,4.92,0.40000000000000036,8.849557522123902,19.390648802781143,-10.541091280657241,132840.0,Worse
2,TFFIF,20000,6.25,6.8,0.5499999999999998,8.799999999999997,19.390648802781143,-10.590648802781146,136000.0,Worse
2,CPNREIT,55000,11.3,12.1,0.7999999999999989,7.079646017699106,19.390648802781143,-12.311002785082039,665500.0,Worse
2,WHART,20000,10.5,11.2,0.6999999999999993,6.66666666666666,19.390648802781143,-12.723982136114483,224000.0,Worse
3,BCH,4000,10.4,11.0,0.5999999999999996,5.769230769230766,19.390648802781143,-13.621418033550377,44000.0,Worse
2,3BBIF,120000,6.4,6.7,0.2999999999999998,4.687499999999997,19.390648802781143,-14.703148802781147,804000.0,Worse
4,AIMIRT,17500,10.9,11.4,0.5,4.587155963302751,19.390648802781143,-14.803492839478391,199500.0,Worse
2,DIF,45000,9.45,9.6,0.15000000000000036,1.587301587301591,19.390648802781143,-17.80334721547955,432000.0,Worse
2,GVREIT,69000,6.55,6.65,0.10000000000000053,1.5267175572519165,19.390648802781143,-17.863931245529226,458850.0,Worse
3,SYNEX,17500,9.95,10.1,0.15000000000000036,1.507537688442215,19.390648802781143,-17.883111114338927,176750.0,Worse
3,CPF,10000,21.8,21.0,-0.8000000000000007,-3.6697247706422047,19.390648802781143,-23.060373573423348,210000.0,Worse
