artist,number_of_songs
Taylor Swift,13
Rolling Stones The,10
Abba,2
Avicii,2
ธงไชย แมคอินไตย์,2
คาราบาว,2
UB40,2
U2,2
Teresa Teng,2
Roy Orbison,2
Ray Charles,2
RICKY NELSON,2
Post Malone,2
Police The,2
Olivia Rodrigo,2
Neil Young,2
Lewis Capaldi,2
Kelly Clarkson,2
Jessie J,2
Jeff Buckley,2
James Taylor,2
Heart,2
Hank Williams,2
Foreigner,2
Blondie,2
Black Sabbath,2
Avril Lavigne,2
เสก โลโซ,2
